Company,Contact Email,Target Role,Status
eSentire,careers@esentire.com,SOC Analyst / SIEM (Splunk),Pending
Arctic Wolf,careers@arcticwolf.com,SOC Analyst Tier 1,Pending
CyberClan,info@cyberclan.ca,SOC Analyst (Junior),Pending
Herjavec Group,careers@herjavecgroup.com,SOC / MDR Analyst,Pending
Trustwave,recruiting@trustwave.com,Security Operations Analyst,Pending
Secureworks,jobs@secureworks.com,SIEM Analyst (Junior),Pending
Field Effect,careers@fieldeffect.com,MDR / SOC Analyst,Pending
Darktrace,careers@darktrace.com,Security Analyst (Junior),Pending
Sophos,recruiting@sophos.com,Threat Analyst I,Pending
Fortinet Canada,canadajobs@fortinet.com,Security Analyst (SOC),Pending
Check Point,careers@checkpoint.com,Security Analyst (Entry),Pending
Cloudflare,recruiting@cloudflare.com,SOC Analyst,Pending
IBM Security,careers@ibm.com,Security Operations Analyst,Pending
Deloitte Canada,careers@deloitte.ca,Cybersecurity Analyst (SOC/IAM),Pending
KPMG Canada,careers@kpmg.ca,IAM Analyst (Junior),Pending
PwC Canada,hr@pwc.com,Security Operations Analyst,Pending
MNP,recruitment@mnp.ca,Security Analyst (SOC),Pending
Accenture Canada,canada.recruiting@accenture.com,IAM / Security Analyst,Pending
CGI,careers@cgi.com,IAM Analyst (Azure AD),Pending
Capgemini,careers@capgemini.com,Security Analyst (IAM),Pending
DXC Technology,careers@dxc.com,IAM Operations Analyst,Pending
Infosys,careers@infosys.com,IAM Analyst (Junior),Pending
Wipro,careers@wipro.com,Security Operations Analyst,Pending
TCS,careers@tcs.com,IAM / SOC Analyst,Pending
NTT Security,careers@nttsecurity.com,SOC Analyst,Pending
OpenText,careers@opentext.com,Security Analyst (SIEM),Pending
Global Relay,jobs@globalrelay.com,Security Monitoring Analyst,Pending
Shopify,securitycareers@shopify.com,Security Operations Analyst,Pending
Wealthsimple,careers@wealthsimple.com,Cloud IAM Analyst,Pending
1Password,jobs@1password.com,Identity Security Analyst,Pending
FreshBooks,careers@freshbooks.com,Security Analyst (Junior),Pending
Lightspeed,careers@lightspeedhq.com,Security Operations Analyst,Pending
Hootsuite,careers@hootsuite.com,Security Analyst (SOC),Pending
L3Harris,careers@l3harris.com,Security Analyst (Junior),Pending
Thales Canada,careers@thalesgroup.com,Cybersecurity Analyst,Pending
Software Secured,careers@softwaresecured.ca,Security Analyst (Junior),Pending
PacketLabs,careers@packetlabs.net,Security Analyst (SOC / IAM),Pending
BlackBerry Cylance,careers@blackberry.com,Security Analyst (Junior),Pending
BlueCat Networks,careers@bluecatnetworks.com,Security Operations Analyst,Pending
Security Compass,careers@securitycompass.com,Security Analyst (Junior),Pending
Nucleus Cyber,careers@nucleuscyber.com,SOC Analyst,Pending
HackerOne,careers@hackerone.com,Security Operations Analyst,Pending
Zighra,careers@zighra.com,Security Analyst (Junior),Pending
Cyderes,careers@cyderes.com,SOC Analyst Tier 1,Pending
Scalar Decisions,careers@scalar.ca,Security Analyst (SOC),Pending
Softchoice,careers@softchoice.com,Cloud Security Analyst (IAM),Pending
Long View Systems,careers@longviewsystems.com,Security Operations Analyst,Pending
ThinkOn,careers@thinkon.com,Security Analyst (Cloud / IAM),Pending
Compugen,careers@compugen.com,Security Analyst (Junior),Pending
Procom,careers@procomservices.com,Junior Security Analyst,Pending
CyberSecure Catalyst,info@cybersecurecatalyst.ca,Security Analyst (Junior),Pending
,,,
,,,
